Timestamp,How long have you worked in libraries? (years),How many tabs do you currently have open in your browser?,How many pairs of shoes do you own?,How do you organize your books at home?,Do you consider yourself a first-generation college student?,Did you have any wisdom teeth removed?,How many books are you currently reading?,Do you exercise indoors or outdoors?,What year did you attend your first concert?,How you pronounce Ã¢â‚¬Å“caramelÃ¢â‚¬ï¿½?,What is your favorite grocery store chain?,How many closets do you have?,How long is your average vacation? (days),What is your favorite color?,Is daycare or daycare assistance available at your workplace?,Do you use renewable energy at home?,Do you compost or recycle?,What is the height of the room you are currently in? (feet),Have you ever had a subscription to any of the following?
7/20/2019 9:01,8,4,8,subject,No,"Yes, all wisdom teeth",1-5,Both,1979,car-mel,Trader Joe's,4,4,indigo,Yes,No,"Yes, recycle",20,"O Magazine, Real Simple"
7/21/2019 11:35,6,11,33,"To read and read, then alphabetically by author's last name and then title",No,"Yes, all wisdom teeth",1-5,Both,2000,car-mel,Meijer,6,5,green,I don't know,No,"Yes, recycle",8,
7/22/2019 12:28,13,6,6,Library of Congress,No,"Yes, all wisdom teeth",1-5,Both,4th grade,car-mel,Aldi,4,,blue,Yes,No,"Yes, recycle",12,"Chicago Tribune, New Yorker, New York Times"
7/24/2019 14:09,14,11,5,Randomly,Yes,No,1-5,Outdoors,2003,karÉ™mÉ›l,Northgate,1,7,red,Yes,No,"Yes, recycle",,"Los Angeles Times, New York Times"
7/24/2019 14:36,23,24,20,"Fiction: alphabetical by author; Nonfiction: by topic, the alphabetically by author within topic",Yes,"Yes, 1 wisdom tooth",1-5,Both,1987,car-mel,Wegmans,5,7,purple,Yes,"Yes, solar","Yes, compost, Yes, recycle",10,"Better Homes and Gardens, Consumer Reports, Cosmopolitan, Entertainment Weekly, O Magazine"
7/24/2019 19:21,2,3,8,Haphazardly,No,"Yes, all wisdom teeth",1-5,Indoors,1997,care-a-mel,H.E.B.,1,5,green,I don't know,No,"Yes, recycle",8,Washington Post
7/25/2019 8:26,10,4,4,However they fit on the shelf most efficiently,No,"Yes, all wisdom teeth",1-5,Indoors,1999,care-a-mel,Whole Foods,2,2,green,I don't know,No,"Yes, recycle",8.2,Economist
7/25/2019 14:13,21,14,10,subject and size of book,Yes,"Yes, all wisdom teeth",1-5,Both,1982,car-mel,Cub,4,10,purple,I don't know,No,"Yes, compost, Yes, recycle",12,"Economist, Globe and Mail, New York Times, Toronto Star"
7/25/2019 15:14,10,10,12,By genre,Yes,No,6-10,Both,2005,care-a-mel,Trader Joe's,4,14,yellow,Yes,No,"Yes, recycle",20,
7/25/2019 15:42,15,5,,wherever they fit,No,"Yes, 2 wisdom teeth",1-5,Outdoors,1992,care-a-mel,Wegmans,2,,cerulean,I don't know,No,"Yes, compost, Yes, recycle",15,Consumer Reports
7/26/2019 9:05,6,9,7,I don't,No,"Yes, all wisdom teeth",1-5,Both,2007,car-mel,Wegmans,1,4,blue,Yes,No,"Yes, compost, Yes, recycle",10,"Boston Globe, New York Times, Washington Post"
7/26/2019 12:47,46,8,,by subject (and sub-divisions),No,"Yes, all wisdom teeth",11-15,Indoors,1950,care-a-mel,Wegmans,7,7,yellow,Yes,No,"Yes, recycle",20,"New Yorker, New York Times, Vogue, Wall Street Journal, Washington Post"
7/26/2019 13:19,0.3,7,10,alphabetically be author,No,"Yes, all wisdom teeth",1-5,Both,2000,care-a-mel,Trader Joe's,4,7,purple,Yes,No,"Yes, recycle",10,
7/26/2019 21:58,8,18,8,"by feeling and, after filling my bookshelf, in piles",No,"Yes, 2 wisdom teeth",1-5,Both,1998,car-mel,Wegmans,1,4,the rainbow,I don't know,No,"Yes, compost",10,Consumer Reports
7/28/2019 13:07,15,24,20,by language,Yes,"Yes, 2 wisdom teeth",1-5,Both,11,care-a-mel,Target,2,7,green,No,No,"Yes, recycle",9,"New York Times, Vogue"
7/29/2019 9:47,10,16,6,I don't organize them,No,"Yes, all wisdom teeth",6-10,Both,1992,care-a-mel,don't have one,,7,brown,I don't know,No,"Yes, compost, Yes, recycle",,
