Timestamp,How long have you worked in libraries?,How many tabs do you currently have open in your browser?,How many pairs of shoes do you own?,How do you organize your books at home?,Do you consider yourself a first-generation college student?,Did you have any wisdom teeth removed?,How many books are you currently reading?,Do you exercise indoors or outdoors?,What year did you attend your first concert?,How you pronounce “caramel”?,What is your favorite grocery store chain?,How many closets do you have?,How long is your average vacation?,What is your favorite color?,Is daycare or daycare assistance available at your workplace?,Do you use renewable energy at home?,Do you compost or recycle?,What is the height of the room you are currently in?,Have you ever had a subscription to any of the following?
7/24/2019 14:36:49,23 years,24,20,"Fiction: alphabetical by author; Nonfiction: by topic, the alphabetically by author within topic",Yes,"Yes, 1 wisdom tooth",1-5,Both,1987,car-mel,Wegmans,5,one week,purple,Yes,"Yes, solar","Yes, compost, Yes, recycle",10 feet,"Better Homes and Gardens, Consumer Reports, Cosmopolitan, Entertainment Weekly, O Magazine"
7/24/2019 19:21:47,2 years,3,8,Haphazardly,No,"Yes, all wisdom teeth",1-5,Indoors,1997,care-a-mel,HEB,1,5 days,Green,I don't know,No,"Yes, recycle",8 feet,Washington Post
7/25/2019 8:26:54,10 years,4,4,However they fit on the shelf most efficiently,No,"Yes, all wisdom teeth",1-5,Indoors,1999,care-a-mel,Whole Foods,2,2 days,Green,I don't know,No,"Yes, recycle",2.5 meters,Economist
7/25/2019 14:13:50,21 years,14,10,subject and size of book,Yes,"Yes, all wisdom teeth",1-5,Both,1982,car-mel,Cub,4,10 days,purple,I don't know,No,"Yes, compost, Yes, recycle",12 feelt,"Economist, Globe and Mail, New York Times, Toronto Star"
7/25/2019 15:14:50,Almost a decade,Ten,Twelve,By genre,Yes,No,6-10,Both,2005,care-a-mel,Trader Joe's,Four,Two weeks,Yellow,Yes,No,"Yes, recycle",Twenty feet,
7/25/2019 15:42:34,fifteen years,five,too many,wherever they fit,No,"Yes, 2 wisdom teeth",1-5,Outdoors,1992,care-a-mel,Wegmans,2,not long enough,cerulean,I don't know,No,"Yes, compost, Yes, recycle",15 ft,Consumer Reports
7/26/2019 9:05:21,6,9,7,I don't,No,"Yes, all wisdom teeth",1-5,Both,2007,car-mel,Wegmans,1,4 days,Blue,Yes,No,"Yes, compost, Yes, recycle",10 ft,"Boston Globe, New York Times, Washington Post"
7/26/2019 12:47:20,forty-six years,8,I really don't know,by subject (and sub-divisions),No,"Yes, all wisdom teeth",11-15,Indoors,1950,care-a-mel,Wegman's,7,one week,yellow,Yes,No,"Yes, recycle",20 feet,"New Yorker, New York Times, Vogue, Wall Street Journal, Washington Post"
7/26/2019 13:19:37,4 months,7,10,alphabetically be author,No,"Yes, all wisdom teeth",1-5,Both,2000,care-a-mel,trader joes,4,1 week,purple,Yes,No,"Yes, recycle",10 ft,
7/26/2019 21:58:58,8 years,18,8 that I can physically wear right now.,"by feeling and, after filling my bookshelf, in piles",No,"Yes, 2 wisdom teeth",1-5,Both,1998,car-mel,Wegman's,1,4 days,the rainbow,I don't know,No,"Yes, compost",10 ft,Consumer Reports
7/28/2019 13:07:28,15 years,24,20,by language,Yes,"Yes, 2 wisdom teeth",1-5,Both,11,care-a-mel,Target,2,1 week,Green,No,No,"Yes, recycle",9 ft,"New York Times, Vogue"
7/29/2019 9:47:29,10 years,16,6,I don't organize them,No,"Yes, all wisdom teeth",6-10,Both,1992,care-a-mel,don't have one,no idea,1 week,brown,I don't know,No,"Yes, compost, Yes, recycle",no idea,
